"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Text Editing","Line End","⌘→","Editing Text"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"File","Refresh","F5","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Navigate","Open Type","⇧⌘T","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Edit","Word Completion","⌃.","Editing Text"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"File","Save All","⇧⌘S","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Enhanced Class Decompiler","Decompile","⌃⌥,","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Uncategorized","Refresh Workspace","⌥F5","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Search","References in Workspace","⇧⌘G","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"View","Zoom In","⌘=","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Edit","Add Maven Dependency","⌃⇧D","Editing XML Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Source","Generate Getters and Setters","⇧⌘N","In Windows"
"File","Properties","⌥↩","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Run/Debug","Run to Line","⌘R","Debugging"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"File","Save","⌘S","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Text Editing","Zoom In","⌘+","Editing Text"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"File","New","⌘N","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Search","Declaration in Workspace","⌘G","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Navigate","Next","⌘.","In Windows"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Source","Format","⇧⌘F","Editing Java Source"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Text Editing","Text Start","⌘↖","Editing Text"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Text Editing","Text Start","↖","Editing Text"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"File","Properties","⌘I","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"File","Close","⌘W","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"File","Print","⌘P","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Navigate","Open Maven POM","⌥⇧P","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
